#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,channel_name,total_subscribers,total_views,total_videos
77,Tauz Oficial @UCfDPkUx9mG3IHBxYuPqgqAQ,9.3M,1.2%,Brazil,,2.8M,Muca Muriçoca,9870000,1517786519,989
78,Muca Muriçoca @UCda7Fl9Q4wmqDqASRDqrVbA,9.2M,-,Brazil,,2.8M,Maiara e Maraisa,10000000,7273541479,333
79,Maiara e Maraisa @UCULzCZWkkOb9dW8rr6dguQQ,9.2M,2.6%,Brazil,,2.8M,BRKsEDU,9780000,2356572501,5290
80,BRKsEDU @UCWKtHaeXVzUscYGcm0hEunw,9.2M,-,Brazil,,2.8M,Canal Top10,9490000,958065723,590
81,Canal Top10 @UC9A70zHWT__VE5oWmTg2-xA,9.2M,-,Brazil,,2.7M,EL GATO,9370000,651687310,363
82,EL GATO @UCZF-E96KcMU1GQGaV-R7_-A,9.2M,-,Brazil,,2.7M,Julia MineGirl,11700000,8899289191,2597
83,Julia MineGirl @UCEOGSdXwcXcNfcuDGbjmgOw,9.1M,0.2%,Brazil,,2.7M,TNT Sports Brasil,12100000,3635989007,11432
84,TNT Sports Brasil @UCs-6sCz2LJm1PrWQN4ErsPw,9.1M,-,Brazil,,2.7M,Patati Patatá,10900000,9811791670,576
85,Patati Patatá @UCe-BBpsnL89BMr6WbvBQ9dw,9.1M,0.1%,Brazil,Music News,2.7M,SLIME SAM SAPECA,11600000,4890756153,1501
86,SLIME SAM SAPECA @UCkhjftd3D116NJ1hVBBGFww,9M,-,Brazil,,2.7M,Sarah de Araújo,11000000,5244073371,1329
87,Sarah de Araújo @UC2ML8NFIkVD-leB1f_jYCdw,8.7M,-,Brazil,,2.6M,Mundo da Vivi,10300000,2958969466,1307
88,Vivi's World @UC-SH7ZCar_m5Udkthm3j0Uw,8.7M,-,Brazil,,2.6M,BabyBus Português - Músicas Infantis e Desenhos,11900000,6543052943,1390
89,BabyBus Português - Músicas Infantis e Desenhos @UCg1PtLqCSYX8odBuWHP9Ebg,8.6M,-,Brazil,,2.6M,Jooj Natu,18000000,12355751475,1659
90,Jooj Natu @UCVVksn-TMGmkwvirl_neMWw,8.6M,-,Brazil,,2.6M,Gerson Albuquerque,8580000,995967256,710
91,Gerson Albuquerque @UCy_B3QVULbWHKkuHzi4t05w,8.3M,0.5%,Brazil,,2.5M,Tribo da Periferia,9240000,3563577553,119
92,Tribo da Periferia @UCe5pPUSFEajlij-LrxUl19A,8.3M,2.5%,Brazil,,2.5M,Canal Clash War,13400000,2747706718,3638
93,Canal Clash War @UCR-Y4lWmrCYbr1XavmNMlvQ,8.3M,0.1%,Brazil,,2.5M,Pyong Lee,8010000,419766530,490
94,Pyong Lee @UCy-pRSIMMBsp-AZlV4go3vw,8.2M,-,Brazil,,2.5M,Neagle,16700000,3526770213,2673
95,Neagle @UCNrthyyJVjrJUpePrl6lW_g,8.2M,0.3%,Brazil,,2.4M,LUDMILLA,9280000,5264527536,322
96,LUDMILLA @UCSCB1IQUmNa8Gn5VfSUAUpg,8.1M,-,Brazil,,2.4M,Gabriela Rocha,9680000,4325405123,288
97,Gabriela Rocha @UC4t2mdI8uAiJDJSRjiWJT1Q,8.1M,-,Brazil,,2.4M,Kim RosaCuca,7830000,733247020,845
98,Kim RosaCuca @UCMc-r8lDh-bbN_bhVz8ySEg,8M,-,Brazil,,2.4M,As Aventuras de Poliana,8350000,4183783591,2650
99,Afreim @UC1SZZVZ5GXRBGpXorHD9PNw,8M,-,Brazil,,2.4M,,,,
100,Poliana Moça @UCvgfiEUr4w7DaCyEoxkdkOw,7.9M,-,Brazil,,2.4M,,,,
