#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,channel_name,total_subscribers,total_views,total_videos
85,Patati Patatá @UCe-BBpsnL89BMr6WbvBQ9dw,9.1M,0.1%,Brazil,Music News,2.7M,Patati Patatá,10900000,9820038114,576
86,SLIME SAM SAPECA @UCkhjftd3D116NJ1hVBBGFww,9M,-,Brazil,,2.7M,SLIME SAM SAPECA,11600000,4893620094,1503
87,Sarah de Araújo @UC2ML8NFIkVD-leB1f_jYCdw,8.7M,-,Brazil,,2.6M,Sarah de Araújo,11000000,5246614908,1330
88,Vivi's World @UC-SH7ZCar_m5Udkthm3j0Uw,8.7M,-,Brazil,,2.6M,Mundo da Vivi,10300000,2960601072,1311
89,BabyBus Português - Músicas Infantis e Desenhos @UCg1PtLqCSYX8odBuWHP9Ebg,8.6M,-,Brazil,,2.6M,BabyBus Português - Músicas Infantis e Desenhos,11900000,6551335385,1391
90,Jooj Natu @UCVVksn-TMGmkwvirl_neMWw,8.6M,-,Brazil,,2.6M,Jooj Natu,18000000,12369672298,1660
91,Gerson Albuquerque @UCy_B3QVULbWHKkuHzi4t05w,8.3M,0.5%,Brazil,,2.5M,Gerson Albuquerque,8580000,996102149,710
92,Tribo da Periferia @UCe5pPUSFEajlij-LrxUl19A,8.3M,2.5%,Brazil,,2.5M,Tribo da Periferia,9240000,3563577553,119
93,Canal Clash War @UCR-Y4lWmrCYbr1XavmNMlvQ,8.3M,0.1%,Brazil,,2.5M,Canal Clash War,13400000,2749229016,3640
94,Pyong Lee @UCy-pRSIMMBsp-AZlV4go3vw,8.2M,-,Brazil,,2.5M,Pyong Lee,8010000,419783944,490
95,Neagle @UCNrthyyJVjrJUpePrl6lW_g,8.2M,0.3%,Brazil,,2.4M,Neagle,16800000,3533862921,2674
96,LUDMILLA @UCSCB1IQUmNa8Gn5VfSUAUpg,8.1M,-,Brazil,,2.4M,LUDMILLA,9280000,5264527536,324
97,Gabriela Rocha @UC4t2mdI8uAiJDJSRjiWJT1Q,8.1M,-,Brazil,,2.4M,Gabriela Rocha,9680000,4325405123,288
98,Kim RosaCuca @UCMc-r8lDh-bbN_bhVz8ySEg,8M,-,Brazil,,2.4M,Kim RosaCuca,7830000,733249866,845
99,Afreim @UC1SZZVZ5GXRBGpXorHD9PNw,8M,-,Brazil,,2.4M,Deleted channel,1,1,1
100,Poliana Moça @UCvgfiEUr4w7DaCyEoxkdkOw,7.9M,-,Brazil,,2.4M,As Aventuras de Poliana,8350000,4185277832,2650
